contamination,threshold,precision,recall,f1,predicted_positives
0.001,-0.07667643084574216,0.0,0.0,0.0,1
0.002,-0.06902962824295511,0.0,0.0,0.0,1
0.003,-0.06138282564016807,0.0,0.0,0.0,1
0.004,-0.05373602303738102,0.0,0.0,0.0,1
0.005,-0.04608922043459397,0.0,0.0,0.0,1
0.006,-0.04528459112537074,0.5,0.07142857142857142,0.125,2
0.007,-0.044656306488662034,0.5,0.07142857142857142,0.125,2
0.008,-0.04402802185195333,0.5,0.07142857142857142,0.125,2
0.009000000000000001,-0.04339973721524463,0.5,0.07142857142857142,0.125,2
0.010000000000000002,-0.04277145257853592,0.5,0.07142857142857142,0.125,2
0.011,-0.042323481042144666,0.3333333333333333,0.07142857142857142,0.11764705882352941,3
0.012,-0.04188504988143159,0.3333333333333333,0.07142857142857142,0.11764705882352941,3
0.013000000000000001,-0.0414466187207185,0.3333333333333333,0.07142857142857142,0.11764705882352941,3
0.014000000000000002,-0.041008187560005425,0.3333333333333333,0.07142857142857142,0.11764705882352941,3
0.015,-0.04056975639929234,0.3333333333333333,0.07142857142857142,0.11764705882352941,3
0.016,-0.04016966727870605,0.5,0.14285714285714285,0.2222222222222222,4
0.017,-0.039772703867912707,0.5,0.14285714285714285,0.2222222222222222,4
0.018000000000000002,-0.03937574045711936,0.5,0.14285714285714285,0.2222222222222222,4
0.019000000000000003,-0.03897877704632601,0.5,0.14285714285714285,0.2222222222222222,4
0.02,-0.03858181363553267,0.5,0.14285714285714285,0.2222222222222222,4
0.021,-0.036474566734263136,0.4,0.14285714285714285,0.21052631578947367,5
0.022000000000000002,-0.03417622670556611,0.4,0.14285714285714285,0.21052631578947367,5
0.023,-0.031877886676869076,0.4,0.14285714285714285,0.21052631578947367,5
0.024,-0.029579546648172046,0.4,0.14285714285714285,0.21052631578947367,5
0.025,-0.027281206619475005,0.4,0.14285714285714285,0.21052631578947367,5
0.026000000000000002,-0.024049212091284272,0.3333333333333333,0.14285714285714285,0.2,6
0.027000000000000003,-0.02068307180167203,0.3333333333333333,0.14285714285714285,0.2,6
0.028,-0.017316931512059777,0.3333333333333333,0.14285714285714285,0.2,6
0.029,-0.01395079122244754,0.3333333333333333,0.14285714285714285,0.2,6
0.030000000000000002,-0.010584650932835286,0.3333333333333333,0.14285714285714285,0.2,6
0.031,-0.007357755661818867,0.42857142857142855,0.21428571428571427,0.2857142857142857,7
0.032,-0.00415557844144071,0.42857142857142855,0.21428571428571427,0.2857142857142857,7
0.033,-0.000953401221062568,0.42857142857142855,0.21428571428571427,0.2857142857142857,7
0.034,0.002248775999315589,0.42857142857142855,0.21428571428571427,0.2857142857142857,7
0.035,0.005450953219693732,0.42857142857142855,0.21428571428571427,0.2857142857142857,7
0.036000000000000004,0.00867443104042822,0.375,0.21428571428571427,0.2727272727272727,8
0.037000000000000005,0.011902454720994868,0.375,0.21428571428571427,0.2727272727272727,8
0.038,0.015130478401561474,0.375,0.21428571428571427,0.2727272727272727,8
0.039,0.018358502082128123,0.375,0.21428571428571427,0.2727272727272727,8
0.04,0.021586525762694757,0.375,0.21428571428571427,0.2727272727272727,8
0.041,0.02229502888279057,0.3333333333333333,0.21428571428571427,0.2608695652173913,9
0.042,0.022369690352453474,0.3333333333333333,0.21428571428571427,0.2608695652173913,9
0.043000000000000003,0.022444351822116376,0.3333333333333333,0.21428571428571427,0.2608695652173913,9
0.044000000000000004,0.02251901329177928,0.3333333333333333,0.21428571428571427,0.2608695652173913,9
0.045,0.02259367476144218,0.3333333333333333,0.21428571428571427,0.2608695652173913,9
0.046,0.02671188582517941,0.3,0.21428571428571427,0.25,10
0.047,0.032011653588483804,0.3,0.21428571428571427,0.25,10
0.048,0.0373114213517882,0.3,0.21428571428571427,0.25,10
0.049,0.042611189115092644,0.3,0.21428571428571427,0.25,10
0.05,0.04791095687839704,0.3,0.21428571428571427,0.25,10
0.051000000000000004,0.05056189408545813,0.2727272727272727,0.21428571428571427,0.24,11
0.052000000000000005,0.052323961978343644,0.2727272727272727,0.21428571428571427,0.24,11
0.053000000000000005,0.05408602987122915,0.2727272727272727,0.21428571428571427,0.24,11
0.054,0.05584809776411467,0.2727272727272727,0.21428571428571427,0.24,11
0.055,0.057610165657000174,0.2727272727272727,0.21428571428571427,0.24,11
0.056,0.0601633190095116,0.25,0.21428571428571427,0.23076923076923078,12
0.057,0.06301862305840787,0.25,0.21428571428571427,0.23076923076923078,12
0.058,0.06587392710730418,0.25,0.21428571428571427,0.23076923076923078,12
0.059000000000000004,0.06872923115620047,0.25,0.21428571428571427,0.23076923076923078,12
0.060000000000000005,0.07158453520509678,0.25,0.21428571428571427,0.23076923076923078,12
0.061,0.0724632751508886,0.23076923076923078,0.21428571428571427,0.2222222222222222,13
0.062,0.07248882195864978,0.23076923076923078,0.21428571428571427,0.2222222222222222,13
0.063,0.07251436876641096,0.23076923076923078,0.21428571428571427,0.2222222222222222,13
0.064,0.07253991557417214,0.23076923076923078,0.21428571428571427,0.2222222222222222,13
0.065,0.07256546238193332,0.23076923076923078,0.21428571428571427,0.2222222222222222,13
0.066,0.07266810598095856,0.21428571428571427,0.21428571428571427,0.21428571428571427,14
0.067,0.07280814727723876,0.21428571428571427,0.21428571428571427,0.21428571428571427,14
0.068,0.07294818857351898,0.21428571428571427,0.21428571428571427,0.21428571428571427,14
0.069,0.0730882298697992,0.21428571428571427,0.21428571428571427,0.21428571428571427,14
0.07,0.0732282711660794,0.21428571428571427,0.21428571428571427,0.21428571428571427,14
0.07100000000000001,0.07402735041679068,0.2,0.21428571428571427,0.20689655172413793,15
0.07200000000000001,0.07518404716215447,0.2,0.21428571428571427,0.20689655172413793,15
0.07300000000000001,0.07634074390751827,0.2,0.21428571428571427,0.20689655172413793,15
0.074,0.07749744065288205,0.2,0.21428571428571427,0.20689655172413793,15
0.075,0.07865413739824585,0.2,0.21428571428571427,0.20689655172413793,15
0.076,0.07935128151133694,0.1875,0.21428571428571427,0.2,16
0.077,0.07977047040329532,0.1875,0.21428571428571427,0.2,16
0.078,0.0801896592952537,0.1875,0.21428571428571427,0.2,16
0.079,0.0806088481872121,0.1875,0.21428571428571427,0.2,16
0.08,0.08102803707917049,0.1875,0.21428571428571427,0.2,16
0.081,0.08134701372483652,0.17647058823529413,0.21428571428571427,0.1935483870967742,17
0.082,0.08159862079316314,0.17647058823529413,0.21428571428571427,0.1935483870967742,17
0.083,0.08185022786148977,0.17647058823529413,0.21428571428571427,0.1935483870967742,17
0.084,0.08210183492981639,0.17647058823529413,0.21428571428571427,0.1935483870967742,17
0.085,0.08235344199814301,0.17647058823529413,0.21428571428571427,0.1935483870967742,17
0.08600000000000001,0.08246307544425605,0.16666666666666666,0.21428571428571427,0.1875,18
0.08700000000000001,0.08246685136503439,0.16666666666666666,0.21428571428571427,0.1875,18
0.08800000000000001,0.08247062728581273,0.16666666666666666,0.21428571428571427,0.1875,18
0.089,0.08247440320659108,0.16666666666666666,0.21428571428571427,0.1875,18
0.09,0.08247817912736942,0.16666666666666666,0.21428571428571427,0.1875,18
0.091,0.0825413390716149,0.15789473684210525,0.21428571428571427,0.18181818181818182,19
0.092,0.08265353169578737,0.15789473684210525,0.21428571428571427,0.18181818181818182,19
0.093,0.08276572431995986,0.15789473684210525,0.21428571428571427,0.18181818181818182,19
0.094,0.08287791694413234,0.15789473684210525,0.21428571428571427,0.18181818181818182,19
0.095,0.08299010956830481,0.15789473684210525,0.21428571428571427,0.18181818181818182,19
0.096,0.08308671974582975,0.15,0.21428571428571427,0.17647058823529413,20
0.097,0.08316909595766704,0.15,0.21428571428571427,0.17647058823529413,20
0.098,0.08325147216950432,0.15,0.21428571428571427,0.17647058823529413,20
0.099,0.0833338483813416,0.15,0.21428571428571427,0.17647058823529413,20
0.1,0.08341622459317889,0.15,0.21428571428571427,0.17647058823529413,20
0.101,0.08374989794113645,0.14285714285714285,0.21428571428571427,0.17142857142857143,21
0.10200000000000001,0.08433740678012458,0.14285714285714285,0.21428571428571427,0.17142857142857143,21
0.10300000000000001,0.0849249156191127,0.14285714285714285,0.21428571428571427,0.17142857142857143,21
0.10400000000000001,0.08551242445810082,0.14285714285714285,0.21428571428571427,0.17142857142857143,21
0.10500000000000001,0.08609993329708895,0.14285714285714285,0.21428571428571427,0.17142857142857143,21
0.106,0.08657040696174254,0.13636363636363635,0.21428571428571427,0.16666666666666666,22
0.107,0.08691014984655436,0.13636363636363635,0.21428571428571427,0.16666666666666666,22
0.108,0.0872498927313662,0.13636363636363635,0.21428571428571427,0.16666666666666666,22
0.109,0.08758963561617802,0.13636363636363635,0.21428571428571427,0.16666666666666666,22
0.11,0.08792937850098985,0.13636363636363635,0.21428571428571427,0.16666666666666666,22
0.111,0.08863138735560415,0.13043478260869565,0.21428571428571427,0.16216216216216217,23
0.112,0.08978114066727774,0.13043478260869565,0.21428571428571427,0.16216216216216217,23
0.113,0.0909308939789513,0.13043478260869565,0.21428571428571427,0.16216216216216217,23
0.114,0.09208064729062485,0.13043478260869565,0.21428571428571427,0.16216216216216217,23
0.115,0.09323040060229841,0.13043478260869565,0.21428571428571427,0.16216216216216217,23
0.116,0.094522417041085,0.125,0.21428571428571427,0.15789473684210525,24
0.117,0.09600919847532388,0.125,0.21428571428571427,0.15789473684210525,24
0.11800000000000001,0.0974959799095628,0.125,0.21428571428571427,0.15789473684210525,24
0.11900000000000001,0.09898276134380168,0.125,0.21428571428571427,0.15789473684210525,24
0.12000000000000001,0.10046954277804063,0.125,0.21428571428571427,0.15789473684210525,24
0.121,0.1013856013403603,0.12,0.21428571428571427,0.15384615384615385,25
0.122,0.10143473908457493,0.12,0.21428571428571427,0.15384615384615385,25
0.123,0.10148387682878957,0.12,0.21428571428571427,0.15384615384615385,25
0.124,0.1015330145730042,0.12,0.21428571428571427,0.15384615384615385,25
0.125,0.10158215231721884,0.12,0.21428571428571427,0.15384615384615385,25
0.126,0.101791485334413,0.11538461538461539,0.21428571428571427,0.15,26
0.127,0.10227141847488333,0.11538461538461539,0.21428571428571427,0.15,26
0.128,0.10275135161535368,0.11538461538461539,0.21428571428571427,0.15,26
0.129,0.10323128475582402,0.11538461538461539,0.21428571428571427,0.15,26
0.13,0.10371121789629437,0.11538461538461539,0.21428571428571427,0.15,26
0.131,0.1041840354415794,0.1111111111111111,0.21428571428571427,0.14634146341463414,27
0.132,0.10464344679303703,0.1111111111111111,0.21428571428571427,0.14634146341463414,27
0.133,0.10510285814449467,0.1111111111111111,0.21428571428571427,0.14634146341463414,27
0.134,0.1055622694959523,0.1111111111111111,0.21428571428571427,0.14634146341463414,27
0.135,0.10602168084740993,0.1111111111111111,0.21428571428571427,0.14634146341463414,27
0.136,0.1063474579941686,0.10714285714285714,0.21428571428571427,0.14285714285714285,28
0.137,0.1063913504903904,0.10714285714285714,0.21428571428571427,0.14285714285714285,28
0.138,0.10643524298661221,0.10714285714285714,0.21428571428571427,0.14285714285714285,28
0.139,0.10647913548283401,0.10714285714285714,0.21428571428571427,0.14285714285714285,28
0.14,0.10652302797905581,0.10714285714285714,0.21428571428571427,0.14285714285714285,28
0.14100000000000001,0.10656647017096804,0.10344827586206896,0.21428571428571427,0.13953488372093023,29
0.14200000000000002,0.10660884384417962,0.10344827586206896,0.21428571428571427,0.13953488372093023,29
0.14300000000000002,0.10665121751739119,0.10344827586206896,0.21428571428571427,0.13953488372093023,29
0.14400000000000002,0.10669359119060277,0.10344827586206896,0.21428571428571427,0.13953488372093023,29
0.14500000000000002,0.10673596486381434,0.10344827586206896,0.21428571428571427,0.13953488372093023,29
0.146,0.10693761444870287,0.1,0.21428571428571427,0.13636363636363635,30
0.147,0.10756694935198322,0.1,0.21428571428571427,0.13636363636363635,30
0.148,0.10819628425526355,0.1,0.21428571428571427,0.13636363636363635,30
