fold,contamination,threshold,precision,recall,f1,predicted_positives
4,0.001,-0.08979364449495855,0.0,0.0,0.0,1
4,0.002,-0.08912890449294703,0.0,0.0,0.0,1
4,0.003,-0.08846416449093551,0.0,0.0,0.0,1
4,0.004,-0.08779942448892399,0.0,0.0,0.0,1
4,0.005,-0.08713468448691246,0.0,0.0,0.0,1
4,0.006,-0.08572588362288056,0.5,0.07692307692307693,0.13333333333333333,2
4,0.007,-0.08326132072490079,0.5,0.07692307692307693,0.13333333333333333,2
4,0.008,-0.08079675782692104,0.5,0.07692307692307693,0.13333333333333333,2
4,0.009000000000000001,-0.07833219492894128,0.5,0.07692307692307693,0.13333333333333333,2
4,0.010000000000000002,-0.07586763203096153,0.5,0.07692307692307693,0.13333333333333333,2
4,0.011,-0.07340306913298178,0.5,0.07692307692307693,0.13333333333333333,2
4,0.012,-0.06962606260611258,0.3333333333333333,0.07692307692307693,0.125,3
4,0.013000000000000001,-0.0655741523461652,0.3333333333333333,0.07692307692307693,0.125,3
4,0.014000000000000002,-0.06152224208621782,0.3333333333333333,0.07692307692307693,0.125,3
4,0.015,-0.05747033182627045,0.3333333333333333,0.07692307692307693,0.125,3
4,0.016,-0.05341842156632307,0.3333333333333333,0.07692307692307693,0.125,3
4,0.017,-0.05016887677787668,0.25,0.07692307692307693,0.11764705882352941,4
4,0.018000000000000002,-0.04945704603882877,0.25,0.07692307692307693,0.11764705882352941,4
4,0.019000000000000003,-0.04874521529978086,0.25,0.07692307692307693,0.11764705882352941,4
4,0.02,-0.04803338456073296,0.25,0.07692307692307693,0.11764705882352941,4
4,0.021,-0.047321553821685056,0.25,0.07692307692307693,0.11764705882352941,4
4,0.022000000000000002,-0.046609723082637146,0.25,0.07692307692307693,0.11764705882352941,4
4,0.023,-0.044675100849685304,0.2,0.07692307692307693,0.1111111111111111,5
4,0.024,-0.04209250363705787,0.2,0.07692307692307693,0.1111111111111111,5
4,0.025,-0.039509906424430426,0.2,0.07692307692307693,0.1111111111111111,5
4,0.026000000000000002,-0.03692730921180299,0.2,0.07692307692307693,0.1111111111111111,5
4,0.027000000000000003,-0.03434471199917556,0.2,0.07692307692307693,0.1111111111111111,5
4,0.028,-0.03178053000753489,0.16666666666666666,0.07692307692307693,0.10526315789473684,6
4,0.029,-0.02947262650795999,0.16666666666666666,0.07692307692307693,0.10526315789473684,6
4,0.030000000000000002,-0.027164723008385086,0.16666666666666666,0.07692307692307693,0.10526315789473684,6
4,0.031,-0.024856819508810198,0.16666666666666666,0.07692307692307693,0.10526315789473684,6
4,0.032,-0.02254891600923531,0.16666666666666666,0.07692307692307693,0.10526315789473684,6
4,0.033,-0.020241012509660407,0.16666666666666666,0.07692307692307693,0.10526315789473684,6
4,0.034,-0.018614522658642104,0.14285714285714285,0.07692307692307693,0.1,7
4,0.035,-0.0177249103578071,0.14285714285714285,0.07692307692307693,0.1,7
4,0.036000000000000004,-0.0168352980569721,0.14285714285714285,0.07692307692307693,0.1,7
4,0.037000000000000005,-0.01594568575613709,0.14285714285714285,0.07692307692307693,0.1,7
4,0.038,-0.015056073455302098,0.14285714285714285,0.07692307692307693,0.1,7
4,0.039,-0.014166461154467094,0.14285714285714285,0.07692307692307693,0.1,7
4,0.04,-0.013623496248670248,0.125,0.07692307692307693,0.09523809523809523,8
4,0.041,-0.013121695721034181,0.125,0.07692307692307693,0.09523809523809523,8
4,0.042,-0.01261989519339812,0.125,0.07692307692307693,0.09523809523809523,8
4,0.043000000000000003,-0.01211809466576205,0.125,0.07692307692307693,0.09523809523809523,8
4,0.044000000000000004,-0.011616294138125989,0.125,0.07692307692307693,0.09523809523809523,8
4,0.045,-0.011183401864394196,0.1111111111111111,0.07692307692307693,0.09090909090909091,9
4,0.046,-0.010905866381282926,0.1111111111111111,0.07692307692307693,0.09090909090909091,9
4,0.047,-0.010628330898171655,0.1111111111111111,0.07692307692307693,0.09090909090909091,9
4,0.048,-0.010350795415060385,0.1111111111111111,0.07692307692307693,0.09090909090909091,9
4,0.049,-0.010073259931949114,0.1111111111111111,0.07692307692307693,0.09090909090909091,9
4,0.05,-0.009795724448837842,0.1111111111111111,0.07692307692307693,0.09090909090909091,9
4,0.051000000000000004,-0.009624084248880898,0.1,0.07692307692307693,0.08695652173913043,10
4,0.052000000000000005,-0.0094934887323171,0.1,0.07692307692307693,0.08695652173913043,10
4,0.053000000000000005,-0.009362893215753305,0.1,0.07692307692307693,0.08695652173913043,10
4,0.054,-0.009232297699189507,0.1,0.07692307692307693,0.08695652173913043,10
4,0.055,-0.00910170218262571,0.1,0.07692307692307693,0.08695652173913043,10
4,0.056,-0.008914683934796224,0.09090909090909091,0.07692307692307693,0.08333333333333333,11
4,0.057,-0.00836326888087586,0.09090909090909091,0.07692307692307693,0.08333333333333333,11
4,0.058,-0.007811853826955496,0.09090909090909091,0.07692307692307693,0.08333333333333333,11
4,0.059000000000000004,-0.007260438773035137,0.09090909090909091,0.07692307692307693,0.08333333333333333,11
4,0.060000000000000005,-0.006709023719114767,0.09090909090909091,0.07692307692307693,0.08333333333333333,11
4,0.061,-0.0061576086651944075,0.09090909090909091,0.07692307692307693,0.08333333333333333,11
4,0.062,-0.00573782539018095,0.08333333333333333,0.07692307692307693,0.08,12
4,0.063,-0.005426839809978304,0.08333333333333333,0.07692307692307693,0.08,12
4,0.064,-0.005115854229775656,0.08333333333333333,0.07692307692307693,0.08,12
4,0.065,-0.004804868649573008,0.08333333333333333,0.07692307692307693,0.08,12
