contamination,threshold,precision,recall,f1,predicted_positives
0.001,-0.11339577441035394,1.0,0.014285714285714285,0.028169014084507043,1
0.002,-0.11063366045597264,0.5,0.014285714285714285,0.027777777777777776,2
0.003,-0.10387190378069157,0.3333333333333333,0.014285714285714285,0.0273972602739726,3
0.004,-0.09453801806305469,0.25,0.014285714285714285,0.02702702702702703,4
0.005,-0.09050096311838503,0.4,0.02857142857142857,0.05333333333333334,5
0.006,-0.08815373161500424,0.3333333333333333,0.02857142857142857,0.05263157894736842,6
0.007,-0.08790966046187527,0.42857142857142855,0.04285714285714286,0.07792207792207792,7
0.008,-0.07916547394683059,0.375,0.04285714285714286,0.07692307692307693,8
0.009000000000000001,-0.07479032719530142,0.3333333333333333,0.04285714285714286,0.0759493670886076,9
0.010000000000000002,-0.07196349162508572,0.3,0.04285714285714286,0.075,10
0.011,-0.07017704017983536,0.2727272727272727,0.04285714285714286,0.07407407407407407,11
0.012,-0.06761771944832319,0.3333333333333333,0.05714285714285714,0.0975609756097561,12
0.013000000000000001,-0.06533593366775034,0.38461538461538464,0.07142857142857142,0.12048192771084337,13
0.014000000000000002,-0.05985854953495499,0.35714285714285715,0.07142857142857142,0.11904761904761904,14
0.015,-0.05945109392785096,0.3333333333333333,0.07142857142857142,0.11764705882352941,15
0.016,-0.05885105242706195,0.3125,0.07142857142857142,0.11627906976744186,16
0.017,-0.057289092034170895,0.35294117647058826,0.08571428571428572,0.13793103448275862,17
0.018000000000000002,-0.05702082627823216,0.3333333333333333,0.08571428571428572,0.13636363636363635,18
0.019000000000000003,-0.054506374069897244,0.3157894736842105,0.08571428571428572,0.1348314606741573,19
0.02,-0.052329918584605964,0.3,0.08571428571428572,0.13333333333333333,20
0.021,-0.05148982188412607,0.3333333333333333,0.1,0.15384615384615385,21
0.022000000000000002,-0.05045851318432429,0.3181818181818182,0.1,0.15217391304347827,22
0.023,-0.04909173165837748,0.30434782608695654,0.1,0.15053763440860216,23
0.024,-0.04849292275302713,0.3333333333333333,0.11428571428571428,0.1702127659574468,24
0.025,-0.047086409158968244,0.32,0.11428571428571428,0.16842105263157894,25
0.026000000000000002,-0.045356585908607784,0.3076923076923077,0.11428571428571428,0.16666666666666666,26
0.027000000000000003,-0.04510776170096647,0.2962962962962963,0.11428571428571428,0.16494845360824742,27
0.028,-0.04482552145634973,0.32142857142857145,0.12857142857142856,0.1836734693877551,28
0.029,-0.04287161078182986,0.3103448275862069,0.12857142857142856,0.18181818181818182,29
0.030000000000000002,-0.041780541983356206,0.3,0.12857142857142856,0.18,30
0.031,-0.04148990129327159,0.2903225806451613,0.12857142857142856,0.1782178217821782,31
0.032,-0.040842370659659524,0.28125,0.12857142857142856,0.17647058823529413,32
0.033,-0.03926621196361135,0.2727272727272727,0.12857142857142856,0.17475728155339806,33
0.034,-0.035898688764984026,0.2647058823529412,0.12857142857142856,0.17307692307692307,34
0.035,-0.03231860511695136,0.2571428571428571,0.12857142857142856,0.17142857142857143,35
0.036000000000000004,-0.03209049891985027,0.25,0.12857142857142856,0.16981132075471697,36
0.037000000000000005,-0.03046320033644432,0.2702702702702703,0.14285714285714285,0.18691588785046728,37
0.038,-0.030173818527192132,0.2631578947368421,0.14285714285714285,0.18518518518518517,38
0.039,-0.028916014080738597,0.28205128205128205,0.15714285714285714,0.2018348623853211,39
0.04,-0.02497731968289541,0.275,0.15714285714285714,0.2,40
0.041,-0.022979562138643928,0.2926829268292683,0.17142857142857143,0.21621621621621623,41
0.042,-0.019576668379546323,0.2857142857142857,0.17142857142857143,0.21428571428571427,42
0.043000000000000003,-0.018654127256172253,0.27906976744186046,0.17142857142857143,0.21238938053097345,43
0.044000000000000004,-0.01519236854935742,0.2727272727272727,0.17142857142857143,0.21052631578947367,44
0.045,-0.011436670591360047,0.26666666666666666,0.17142857142857143,0.20869565217391303,45
