contamination,precision,recall,f1,pred_positives
0.001,1.0,0.07692307692307693,0.14285714285714285,1
0.003507537688442211,1.0,0.07692307692307693,0.14285714285714285,1
0.006015075376884422,0.5,0.07692307692307693,0.13333333333333333,2
0.008522613065326633,0.5,0.07692307692307693,0.13333333333333333,2
0.011030150753768845,0.5,0.07692307692307693,0.13333333333333333,2
0.013537688442211055,0.5,0.15384615384615385,0.23529411764705882,4
0.016045226130653265,0.5,0.15384615384615385,0.23529411764705882,4
0.01855276381909548,0.5,0.15384615384615385,0.23529411764705882,4
0.02106030150753769,0.5,0.15384615384615385,0.23529411764705882,4
0.0235678391959799,0.4,0.15384615384615385,0.2222222222222222,5
0.02607537688442211,0.4,0.15384615384615385,0.2222222222222222,5
0.028582914572864323,0.3333333333333333,0.15384615384615385,0.21052631578947367,6
0.031090452261306533,0.3333333333333333,0.15384615384615385,0.21052631578947367,6
0.03359798994974875,0.2857142857142857,0.15384615384615385,0.2,7
0.03610552763819096,0.2857142857142857,0.15384615384615385,0.2,7
0.03861306532663317,0.2857142857142857,0.15384615384615385,0.2,7
0.04112060301507538,0.25,0.15384615384615385,0.19047619047619047,8
0.04362814070351759,0.25,0.15384615384615385,0.19047619047619047,8
0.0461356783919598,0.3333333333333333,0.23076923076923078,0.2727272727272727,9
0.04864321608040201,0.3,0.23076923076923078,0.2608695652173913,10
0.05115075376884422,0.3,0.23076923076923078,0.2608695652173913,10
0.053658291457286435,0.3,0.23076923076923078,0.2608695652173913,10
0.056165829145728645,0.2727272727272727,0.23076923076923078,0.25,11
0.058673366834170855,0.2727272727272727,0.23076923076923078,0.25,11
0.061180904522613065,0.2727272727272727,0.23076923076923078,0.25,11
0.06368844221105528,0.25,0.23076923076923078,0.24,12
0.06619597989949749,0.25,0.23076923076923078,0.24,12
0.0687035175879397,0.23076923076923078,0.23076923076923078,0.23076923076923078,13
0.07121105527638191,0.23076923076923078,0.23076923076923078,0.23076923076923078,13
0.07371859296482412,0.21428571428571427,0.23076923076923078,0.2222222222222222,14
0.07622613065326633,0.21428571428571427,0.23076923076923078,0.2222222222222222,14
0.07873366834170854,0.2,0.23076923076923078,0.21428571428571427,15
0.08124120603015075,0.2,0.23076923076923078,0.21428571428571427,15
0.08374874371859296,0.2,0.23076923076923078,0.21428571428571427,15
0.08625628140703517,0.25,0.3076923076923077,0.27586206896551724,16
0.08876381909547738,0.25,0.3076923076923077,0.27586206896551724,16
0.0912713567839196,0.2222222222222222,0.3076923076923077,0.25806451612903225,18
0.0937788944723618,0.2222222222222222,0.3076923076923077,0.25806451612903225,18
0.09628643216080401,0.2222222222222222,0.3076923076923077,0.25806451612903225,18
0.09879396984924622,0.21052631578947367,0.3076923076923077,0.25,19
0.10130150753768843,0.21052631578947367,0.3076923076923077,0.25,19
0.10380904522613066,0.21052631578947367,0.3076923076923077,0.25,19
0.10631658291457287,0.2,0.3076923076923077,0.24242424242424243,20
0.10882412060301508,0.2,0.3076923076923077,0.24242424242424243,20
0.11133165829145729,0.2,0.3076923076923077,0.24242424242424243,20
0.1138391959798995,0.19047619047619047,0.3076923076923077,0.23529411764705882,21
0.11634673366834171,0.18181818181818182,0.3076923076923077,0.22857142857142856,22
0.11885427135678392,0.18181818181818182,0.3076923076923077,0.22857142857142856,22
0.12136180904522613,0.18181818181818182,0.3076923076923077,0.22857142857142856,22
0.12386934673366834,0.17391304347826086,0.3076923076923077,0.2222222222222222,23
0.12637688442211056,0.17391304347826086,0.3076923076923077,0.2222222222222222,23
0.12888442211055276,0.16,0.3076923076923077,0.21052631578947367,25
0.13139195979899498,0.16,0.3076923076923077,0.21052631578947367,25
0.13389949748743718,0.16,0.3076923076923077,0.21052631578947367,25
0.1364070351758794,0.16,0.3076923076923077,0.21052631578947367,25
0.1389145728643216,0.16,0.3076923076923077,0.21052631578947367,25
0.14142211055276382,0.19230769230769232,0.38461538461538464,0.2564102564102564,26
0.14392964824120602,0.19230769230769232,0.38461538461538464,0.2564102564102564,26
0.14643718592964824,0.18518518518518517,0.38461538461538464,0.25,27
0.14894472361809044,0.18518518518518517,0.38461538461538464,0.25,27
0.15145226130653267,0.17857142857142858,0.38461538461538464,0.24390243902439024,28
0.15395979899497486,0.1724137931034483,0.38461538461538464,0.23809523809523808,29
0.15646733668341709,0.1724137931034483,0.38461538461538464,0.23809523809523808,29
0.15897487437185928,0.1724137931034483,0.38461538461538464,0.23809523809523808,29
0.1614824120603015,0.1724137931034483,0.38461538461538464,0.23809523809523808,29
0.16398994974874373,0.16666666666666666,0.38461538461538464,0.23255813953488372,30
0.16649748743718593,0.16666666666666666,0.38461538461538464,0.23255813953488372,30
0.16900502512562815,0.16129032258064516,0.38461538461538464,0.22727272727272727,31
0.17151256281407035,0.16129032258064516,0.38461538461538464,0.22727272727272727,31
0.17402010050251257,0.15625,0.38461538461538464,0.2222222222222222,32
0.17652763819095477,0.15625,0.38461538461538464,0.2222222222222222,32
0.179035175879397,0.15151515151515152,0.38461538461538464,0.21739130434782608,33
0.1815427135678392,0.15151515151515152,0.38461538461538464,0.21739130434782608,33
0.1840502512562814,0.15151515151515152,0.38461538461538464,0.21739130434782608,33
0.1865577889447236,0.14705882352941177,0.38461538461538464,0.2127659574468085,34
0.18906532663316583,0.14285714285714285,0.38461538461538464,0.20833333333333334,35
0.19157286432160803,0.14285714285714285,0.38461538461538464,0.20833333333333334,35
0.19408040201005025,0.14285714285714285,0.38461538461538464,0.20833333333333334,35
0.19658793969849245,0.1388888888888889,0.38461538461538464,0.20408163265306123,36
