fold,contamination,threshold,precision,recall,f1,predicted_positives
5,0.001,-0.08855708414320657,0.0,0.0,0.0,1
5,0.002,-0.0823087301321318,0.0,0.0,0.0,1
5,0.003,-0.07606037612105702,0.0,0.0,0.0,1
5,0.004,-0.06981202210998226,0.0,0.0,0.0,1
5,0.005,-0.0635636680989075,0.0,0.0,0.0,1
5,0.006,-0.05832995026690329,0.0,0.0,0.0,2
5,0.007,-0.05453591890520191,0.0,0.0,0.0,2
5,0.008,-0.050741887543500536,0.0,0.0,0.0,2
5,0.009000000000000001,-0.046947856181799155,0.0,0.0,0.0,2
5,0.010000000000000002,-0.043153824820097775,0.0,0.0,0.0,2
5,0.011,-0.03935979345839641,0.0,0.0,0.0,2
5,0.012,-0.03850345445657062,0.0,0.0,0.0,3
5,0.013000000000000001,-0.03826244290850256,0.0,0.0,0.0,3
5,0.014000000000000002,-0.038021431360434496,0.0,0.0,0.0,3
5,0.015,-0.037780419812366434,0.0,0.0,0.0,3
5,0.016,-0.03753940826429838,0.0,0.0,0.0,3
5,0.017,-0.03721660606708326,0.0,0.0,0.0,4
5,0.018000000000000002,-0.036635117165589114,0.0,0.0,0.0,4
5,0.019000000000000003,-0.03605362826409496,0.0,0.0,0.0,4
5,0.02,-0.03547213936260082,0.0,0.0,0.0,4
5,0.021,-0.03489065046110666,0.0,0.0,0.0,4
5,0.022000000000000002,-0.034309161559612514,0.0,0.0,0.0,4
5,0.023,-0.03340930270242673,0.0,0.0,0.0,5
5,0.024,-0.03234073497983171,0.0,0.0,0.0,5
5,0.025,-0.03127216725723669,0.0,0.0,0.0,5
5,0.026000000000000002,-0.030203599534641662,0.0,0.0,0.0,5
5,0.027000000000000003,-0.029135031812046644,0.0,0.0,0.0,5
5,0.028,-0.027650408061839188,0.0,0.0,0.0,6
5,0.029,-0.020375671260692264,0.0,0.0,0.0,6
5,0.030000000000000002,-0.013100934459545346,0.0,0.0,0.0,6
5,0.031,-0.0058261976583984625,0.0,0.0,0.0,6
5,0.032,0.0014485391427484211,0.0,0.0,0.0,6
5,0.033,0.008723275943895341,0.0,0.0,0.0,6
5,0.034,0.012670911445780517,0.0,0.0,0.0,7
5,0.035,0.01302063507753382,0.0,0.0,0.0,7
5,0.036000000000000004,0.013370358709287123,0.0,0.0,0.0,7
5,0.037000000000000005,0.013720082341040425,0.0,0.0,0.0,7
5,0.038,0.014069805972793725,0.0,0.0,0.0,7
5,0.039,0.014419529604547027,0.0,0.0,0.0,7
5,0.04,0.015656915388313635,0.0,0.0,0.0,8
5,0.041,0.016999711052631827,0.0,0.0,0.0,8
5,0.042,0.018342506716950004,0.0,0.0,0.0,8
5,0.043000000000000003,0.0196853023812682,0.0,0.0,0.0,8
5,0.044000000000000004,0.021028098045586377,0.0,0.0,0.0,8
5,0.045,0.02214472173327081,0.0,0.0,0.0,9
5,0.046,0.022751430419090092,0.0,0.0,0.0,9
